"string","D","length"
"000111010",2.45279871454321e-08,9
"010111000",2.45279871454321e-08,9
"000111110",2.44340368471023e-08,9
"011111000",2.44340368471023e-08,9
"011000001",2.4239176969085e-08,9
"011111001",2.4239176969085e-08,9
"010111001",2.40251790673338e-08,9
"011000101",2.40251790673338e-08,9
"0000000011",2.35745655994187e-08,10
"0011111111",2.35745655994187e-08,10
"010110001",2.3536289551951e-08,9
"011100101",2.3536289551951e-08,9
"0001010101",2.34614772773551e-08,10
"0101010111",2.34614772773551e-08,10
"0101010110",2.32805359620533e-08,10
"0110101010",2.32805359620533e-08,10
"011010001",2.27359721958084e-08,9
"011101001",2.27359721958084e-08,9
"000101100",2.26768183042674e-08,9
"001101000",2.26768183042674e-08,9
"0000000100",2.24993566296445e-08,10
"0010000000",2.24993566296445e-08,10
"011001110",2.20174263956195e-08,9
"011100110",2.20174263956195e-08,9
"001011110",2.15963898734749e-08,9
"011110100",2.15963898734749e-08,9
"000101110",2.11353374835232e-08,9
"011101000",2.11353374835232e-08,9
"0000100001",2.09891925750102e-08,10
"0111101111",2.09891925750102e-08,10
"0000010101",2.09543961682213e-08,10
"0101011111",2.09543961682213e-08,10
"001011001",1.9633872530586e-08,9
"011001011",1.9633872530586e-08,9
"000100111",1.95451416932745e-08,9
"000110111",1.95451416932745e-08,9
"000000000000",1.95207842085224e-08,12
"0000110000",1.91310644524877e-08,10
"001101001",1.89814399032958e-08,9
"011010011",1.89814399032958e-08,9
"0000110101",1.86125979913344e-08,10
"0101001111",1.86125979913344e-08,10
"011100001",1.8567362662509e-08,9
"011110001",1.8567362662509e-08,9
"000110011",1.79914821301542e-08,9
"001100111",1.79914821301542e-08,9
"0100010010",1.76087216554773e-08,10
"0100100010",1.76087216554773e-08,10
"0010100101",1.75217306385052e-08,10
"0101101011",1.75217306385052e-08,10
"0000000110",1.74103821367811e-08,10
"0110000000",1.74103821367811e-08,10
"000111100",1.7398203394405e-08,9
"001111000",1.7398203394405e-08,9
"0010010010",1.71894249536721e-08,10
"0100100100",1.71894249536721e-08,10
"0100000001",1.71702869299383e-08,10
"0111111101",1.71702869299383e-08,10
"0110110110",1.70711171705902e-08,10
"001011100",1.70276216621041e-08,9
"001110100",1.70276216621041e-08,9
"0000100101",1.68240626823896e-08,10
"0101101111",1.68240626823896e-08,10
"00000010000",1.68223228620502e-08,11
"00001000000",1.68223228620502e-08,11
"0000001001",1.67962255569586e-08,10
"0110111111",1.67962255569586e-08,10
"001111100",1.66744381331977e-08,9
"0101001010",1.66605195704822e-08,10
"0010000100",1.65909267569046e-08,10
"00000000001",1.64656596924649e-08,11
"01111111111",1.64656596924649e-08,11
"0010101101",1.64552207704282e-08,10
"0100101011",1.64552207704282e-08,10
"001100011",1.61002974211824e-08,9
"001110011",1.61002974211824e-08,9
"0010001010",1.60620213737147e-08,10
"0101000100",1.60620213737147e-08,10
"0100101010",1.567230161768e-08,10
"0101010010",1.567230161768e-08,10
"0101001001",1.56549034142856e-08,10
